0.30 агрн. инарҭбааны	0,30 грн. подробнее
Иҟалар зылшо	Возможные
Иҟалар зылшоз алахәылацәақыҟаӡам.	В мероприятии нет возможных участников.
Иҟалар зылшоз алахәылацәақыҟаӡам.	В сообществе нет возможных участников.
Иҟалар зылшоз алахәылацәақыҟаӡам	Нет возможных участников
Иҟалаша аусмҩаԥгатәқәа	Грядущие мероприятия
Иҟалеит агха:	Произошла ошибка:
Иҟалозар ааҳәара ҟашәҵа ацхыраарахь — {link}.	Пожалуйста, обратитесь в Поддержку — {link}.
Иҟалозар, абаг ажәакала изеиԥшроу шәҳәа...	Пожалуйста, опишите баг в двух словах...
Иҟалозар, ақалақь ашәырба.	Пожалуйста, укажите город.
Иҟалозар, иалышәха амҩаду.	Пожалуйста, выберите улицу.
Иҟалозар иалышәх атәыла.	Пожалуйста, выберите страну.
Иҟалозар, иашәырба аизга ахьыӡ.	Пожалуйста, введите название подборки.
Иҟалозар иашәырба аҭыԥ ахьӡ.	Пожалуйста, введите название места.
Иҟалозар, иашәырба ауадаҩра.	Пожалуйста, укажите проблему.
Иҟалозар, иашәыркы ари аԥенџьыр.	Пожалуйста, закройте это окно.
Иҟалозар, шәазԥшы аҭак ҟалаанӡа уаанӡатәи ашшбӷьыц азы ({date}).	Пожалуйста, дождитесь вынесения решения по предыдущей жалобе.
иҟалоит {link}шәахәаԥшырц егьырҭ ахархәаҩҵәа ишырбо шәдаҟьа{/link}.	вы можете {link}посмотреть, как видят вашу страницу другие пользователи{/link}.
Иҟам измыԥхьац анҵамҭақәа	Нет непрочитанных записей
Иҟаҵаз аҳәарала аҭауарқәа ԥшааӡам	По данному запросу товары не найдены
Иҟашәҵа алаҳәара	Создайте объявление
Иҟеи?	Что нового?
Иҟеи?	Что у вас нового?
Иҟоуп ажәеиларккақәа	Есть комментарии
Иҟоуп аҭак	Есть ответ
Иҟоуп аҭак.	Есть ответ
Иҟоуп аҭак ҿыц.	Есть новый ответ
Иҟоуп ауадаҩрақәа	Есть проблемы
Иҟоуп аҿыҵга ахынҳәраз	Есть повод вернуться
Илаи	Илай
иласу аԥшаара	в активном поиске
Иласу аԥшаара	В активном поиске
Иласу атлетика	Легкая атлетика
И(л)гәаԥхеит {user_name}	Понравилось {user_name}
Илиа Полутис	Илья Полутис
Илиа Шаповалов	Илья Шаповалов
илибиралу	Либеральные
Илибиралу	Либеральные
Имаӡоу ацаԥха:	Секретный ключ:
Имаӡоу ацыԥха	Секретный ключ
Иманшәалоу шәхатә архиарақәа шықәшәыргылаз агәра шәгарц азы,	Чтобы убедиться в том, что вы установили подходящие настройки приватности,
Имариоу атеқст	Простой текст
Имаҷу ахҳәаа ианаҭоит шәдаҟьа аиндивидуальность	Небольшое описание добавит вашей странице индивидуальности
Имнеиӡеи ақәҿыҭра?	Не пришло уведомление?
Имп	Имп
Имунеле	Имунеле
Имцу аҭахҳәагақәа	Ложных заявок
Имцу ауазырра	Ложная тревога
Имыцхәу атег: {tag} (иԥшаауп %s тегк еиҳаны)/Имыцхәу атег: {tag} (иԥшаауп атегқәа %s еиҳаны)/Имыцхәу атег: {tag} (иԥшаауп атегқәа %s еиҳаны)	Лишний тег: {tag} (найдено более %s тега)/Лишний тег: {tag} (найдено более %s тегов)/Лишний тег: {tag} (найдено более %s тегов)
инагӡаны арбара...	показать полностью...
Инагӡаны арбара	Показать полностью
Инагӡаны арбара...	Показать полностью...
