Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Атема ариашара	Редактирование темы
Ацҳамҭа шьҭуп.	Сообщение отослано.
Иқәганы ацҵара	Убрать и продолжить
Иҭыҵуа ацҳамҭа	Исходящее сообщение
аалыҵ «Аԥшьқәа» анапхгаҩы	руководитель продукта «Сообщества»
Избарҭада смузыкақәа рсиа	Кто видит список моих аудиозаписей
Абжьыҭиира аамҭа аԥкуп	Ограниченное время голосования
авеб-наԥҵара анапхгаҩы	директор по развитию продуктов
Иарбоу ацыԥхала анҵамҭа ыҟоуп.	Запись с указанным ключом уже существует.
Аилак анаԥхгара аҭара аԥшьы азин аиура	Разрешить приложению доступ к управлению сообществом
Адунеитә аҳәса рымш	Международный женский день
Аӡәгьы даҳзымԥшааит	Ни одного друга не найдено
Ахархәаҩ даанкылан.	Пользователь заблокирован.
Ахархәаҩ иаанкылара	Заблокировать пользователя
Еиҳа аԥшьқәа арбара	Показать больше приложений
Ҩызакгьы дшәымаӡам.	У вас нет ни одного друга.
Иашәырба ажәла, иарбоу шәдаҟьаҿы	Введите фамилию, указанную на вашей странице
Далышәх аиҿкааҩ.	Выберите организатора.
Аграффити шьҭӡам	Граффити не отправлено
адақьа аанкылоуп	страница заблокирована
Адақьа аанкылоуп	Страница заблокирована
Адаҟьа аанкылара	Заблокировать страницу
